Date,Time,Enter/Exit,Current Price,Sent Price,Symbol,Quantity,Action,Direction,Slip from TV
2025-01-29,08:56:52,entry,21536.0,21536.0,NQ1!,1,buy,long,0.0
2025-01-29,08:57:34,exit,21532.0,21532.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:57:50,entry,21532.0,21532.0,NQ1!,1,buy,long,0.0
2025-01-29,08:57:56,exit,21528.0,21528.0,NQ1!,1,sell,flat,0.0
2025-01-29,08:58:04,entry,21516.0,21516.0,NQ1!,1,sell,short,0.0
2025-01-29,09:00:28,exit,21528.0,21528.0,NQ1!,1,buy,flat,0.0
2025-01-29,09:03:39,entry,21536.0,21536.0,NQ1!,1,sell,short,0.0
2025-01-29,09:05:02,exit,21532.0,21532.0,NQ1!,1,buy,flat,0.0
2025-01-29,09:06:33,entry,21548.0,21548.0,NQ1!,1,buy,long,0.0
2025-01-29,09:08:35,exit,21556.0,21556.0,NQ1!,1,sell,flat,0.0
2025-01-29,09:13:53,entry,21516.0,21516.0,NQ1!,1,buy,long,0.0
2025-01-29,09:15:47,exit,21536.0,21536.0,NQ1!,1,sell,flat,0.0
2025-01-29,09:16:39,entry,21520.0,21520.0,NQ1!,1,sell,short,0.0
2025-01-29,09:18:03,exit,21516.0,21516.0,NQ1!,1,buy,flat,0.0
2025-01-29,09:19:02,entry,21532.0,21532.0,NQ1!,1,buy,long,0.0
2025-01-29,09:20:41,exit,21528.0,21528.0,NQ1!,1,sell,flat,0.0
2025-01-29,09:25:24,entry,21520.0,21520.0,NQ1!,1,sell,short,0.0
2025-01-29,09:25:24,exit,21520.0,21520.0,NQ1!,1,buy,flat,0.0
2025-01-29,09:30:30,entry,21508.0,21508.0,NQ1!,1,buy,long,0.0
2025-01-29,09:31:10,exit,21512.0,21512.0,NQ1!,1,sell,flat,0.0
2025-01-29,09:37:38,entry,21512.0,21512.0,NQ1!,1,sell,short,0.0
2025-01-29,09:38:39,exit,21508.0,21508.0,NQ1!,1,buy,flat,0.0
2025-01-29,09:46:13,entry,21476.0,21476.0,NQ1!,1,buy,long,0.0
2025-01-29,09:46:25,exit,21468.0,21468.0,NQ1!,1,sell,flat,0.0
2025-01-29,09:56:30,entry,21504.0,21504.0,NQ1!,1,sell,short,0.0
2025-01-29,09:57:10,exit,21500.0,21500.0,NQ1!,1,buy,flat,0.0
2025-01-29,10:02:38,entry,21520.0,21520.0,NQ1!,1,buy,long,0.0
2025-01-29,10:05:11,exit,21516.0,21516.0,NQ1!,1,sell,flat,0.0
2025-01-29,10:18:02,entry,21480.0,21480.0,NQ1!,1,sell,short,0.0
2025-01-29,10:19:28,exit,21492.0,21492.0,NQ1!,1,buy,flat,0.0
2025-01-29,10:22:04,entry,21488.0,21488.0,NQ1!,1,sell,short,0.0
2025-01-29,10:22:27,exit,21492.0,21492.0,NQ1!,1,buy,flat,0.0
2025-01-29,10:30:17,entry,21484.0,21484.0,NQ1!,1,sell,short,0.0
2025-01-29,10:31:21,exit,21496.0,21496.0,NQ1!,1,buy,flat,0.0
2025-01-29,10:37:01,entry,21512.0,21512.0,NQ1!,1,buy,long,0.0
2025-01-29,10:37:55,exit,21500.0,21500.0,NQ1!,1,sell,flat,0.0
2025-01-29,10:38:32,entry,21484.0,21484.0,NQ1!,1,sell,short,0.0
2025-01-29,10:40:17,exit,21480.0,21480.0,NQ1!,1,buy,flat,0.0
2025-01-29,10:44:49,entry,21496.0,21496.0,NQ1!,1,buy,long,0.0
2025-01-29,10:46:17,exit,21500.0,21500.0,NQ1!,1,sell,flat,0.0
2025-01-29,10:53:34,entry,21508.0,21508.0,NQ1!,1,buy,long,0.0
2025-01-29,10:55:14,exit,21496.0,21496.0,NQ1!,1,sell,flat,0.0
2025-01-29,10:56:16,entry,21484.0,21484.0,NQ1!,1,sell,short,0.0
2025-01-29,10:57:53,exit,21480.0,21480.0,NQ1!,1,buy,flat,0.0
2025-01-29,11:00:47,entry,21496.0,21496.0,NQ1!,1,buy,long,0.0
2025-01-29,11:02:58,exit,21508.0,21508.0,NQ1!,1,sell,flat,0.0
2025-01-29,11:08:05,entry,21516.0,21516.0,NQ1!,1,sell,short,0.0
2025-01-29,11:08:24,exit,21520.0,21520.0,NQ1!,1,buy,flat,0.0
2025-01-29,11:21:50,entry,21532.0,21532.0,NQ1!,1,buy,long,0.0
2025-01-29,11:23:53,exit,21528.0,21528.0,NQ1!,1,sell,flat,0.0
2025-01-29,11:24:13,entry,21540.0,21540.0,NQ1!,1,buy,long,0.0
2025-01-29,11:26:35,exit,21532.0,21532.0,NQ1!,1,sell,flat,0.0
2025-01-29,12:03:27,entry,21392.0,21392.0,NQ1!,1,sell,short,0.0
2025-01-29,12:04:05,exit,21388.0,21388.0,NQ1!,1,buy,flat,0.0
2025-01-29,12:11:17,entry,21452.0,21452.0,NQ1!,1,sell,short,0.0
2025-01-29,12:12:12,exit,21436.0,21436.0,NQ1!,1,buy,flat,0.0
2025-01-29,12:14:07,entry,21456.0,21456.0,NQ1!,1,buy,long,0.0
2025-01-29,12:15:09,exit,21452.0,21452.0,NQ1!,1,sell,flat,0.0
2025-01-29,12:24:47,entry,21456.0,21456.0,NQ1!,1,buy,long,0.0
2025-01-29,12:26:18,exit,21472.0,21472.0,NQ1!,1,sell,flat,0.0
2025-01-29,12:33:30,entry,21488.0,21488.0,NQ1!,1,sell,short,0.0
2025-01-29,12:34:37,exit,21488.0,21488.0,NQ1!,1,buy,flat,0.0
2025-01-29,12:48:24,entry,21476.0,21476.0,NQ1!,1,buy,long,0.0
2025-01-29,12:50:17,exit,21484.0,21484.0,NQ1!,1,sell,flat,0.0
