symbol,_tickSize,qty,buyPrice,sellPrice,boughtTimestamp,soldTimestamp,duration,pnl,tradeNumber,cummulative
NQH5,0.25,1,21640,21636,1/30/2025 4:35,1/30/2025 4:45,9min 27sec,($80.00),136,"$5,120.00 "
NQH5,0.25,1,21632,21628,1/30/2025 5:02,1/30/2025 5:00,-112sec,($80.00),137,"$5,040.00 "
NQH5,0.25,1,21648,21652,1/30/2025 6:00,1/30/2025 5:47,-751sec,$80.00 ,138,"$5,120.00 "
NQH5,0.25,1,21648,21644,1/30/2025 6:06,1/30/2025 6:07,1min 30sec,($80.00),139,"$5,040.00 "
NQH5,0.25,1,21596,21624,1/30/2025 6:17,1/30/2025 6:11,-337sec,$560.00 ,140,"$5,600.00 "
NQH5,0.25,1,21632,21636,1/30/2025 7:09,1/30/2025 7:19,10min 47sec,$80.00 ,141,"$5,680.00 "
NQH5,0.25,1,21652,21656,1/30/2025 7:31,1/30/2025 7:32,1min 7sec,$80.00 ,142,"$5,760.00 "
NQH5,0.25,1,21624,21640,1/30/2025 7:38,1/30/2025 7:34,-244sec,$320.00 ,143,"$6,080.00 "
NQH5,0.25,1,21660,21648,1/30/2025 8:06,1/30/2025 8:05,-68sec,($240.00),144,"$5,840.00 "
NQH5,0.25,1,21656,21648,1/30/2025 8:13,1/30/2025 8:15,1min 35sec,($160.00),145,"$5,680.00 "
NQH5,0.25,1,21640,21644,1/30/2025 8:27,1/30/2025 8:27,0sec,$80.00 ,146,"$5,760.00 "
NQH5,0.25,1,21636,21636,1/30/2025 8:30,1/30/2025 8:30,-10sec,$0.00 ,147,"$5,760.00 "
NQH5,0.25,1,21660,21656,1/30/2025 8:31,1/30/2025 8:32,1min 15sec,($80.00),148,"$5,680.00 "
NQH5,0.25,1,21604,21652,1/30/2025 8:35,1/30/2025 8:33,-151sec,$960.00 ,149,"$6,640.00 "
NQH5,0.25,1,21612,21644,1/30/2025 8:37,1/30/2025 8:41,4min 51sec,$640.00 ,150,"$7,280.00 "
NQH5,0.25,1,21632,21628,1/30/2025 8:43,1/30/2025 8:42,-58sec,($80.00),151,"$7,200.00 "
NQH5,0.25,1,21648,21644,1/30/2025 8:43,1/30/2025 8:45,1min 23sec,($80.00),152,"$7,120.00 "
NQH5,0.25,1,21644,21640,1/30/2025 8:45,1/30/2025 8:45,10sec,($80.00),153,"$7,040.00 "
NQH5,0.25,1,21716,21720,1/30/2025 8:55,1/30/2025 8:57,1min 44sec,$80.00 ,154,"$7,120.00 "
NQH5,0.25,1,21668,21664,1/30/2025 8:59,1/30/2025 9:00,37sec,($80.00),155,"$7,040.00 "
NQH5,0.25,1,21584,21572,1/30/2025 9:08,1/30/2025 9:07,-14sec,($240.00),156,"$6,800.00 "
NQH5,0.25,1,21580,21596,1/30/2025 9:13,1/30/2025 9:12,-45sec,$320.00 ,157,"$7,120.00 "
NQH5,0.25,1,21596,21592,1/30/2025 9:15,1/30/2025 9:16,52sec,($80.00),158,"$7,040.00 "
NQH5,0.25,1,21576,21576,1/30/2025 9:18,1/30/2025 9:18,0sec,$0.00 ,159,"$7,040.00 "
NQH5,0.25,1,21564,21556,1/30/2025 9:22,1/30/2025 9:22,-23sec,($160.00),160,"$6,880.00 "
NQH5,0.25,1,21580,21596,1/30/2025 9:23,1/30/2025 9:25,1min 34sec,$320.00 ,161,"$7,200.00 "
NQH5,0.25,1,21560,21580,1/30/2025 9:27,1/30/2025 9:26,-63sec,$400.00 ,162,"$7,600.00 "
